Unnamed: 0,Date,User,Tweet,Location,ppt
341,2023-03-24 13:41:19+00:00,alhassen3211,Masyarakat Kalimantan Tengah bangga dengan Presiden  Ganjar  Rakyat Indonesia semakin terbantu dengan kebijakan Presiden  Ganj #GanjarHebat,antapani Bandung,"['masyarakat', 'kalimantan', 'tengah', 'bangga', 'presiden', 'ganjar', 'rakyat', 'indonesia', 'makin', 'bantu', 'bijak', 'presiden', 'ganj', 'ganjarhebat']"
342,2023-03-24 13:41:01+00:00,AdrianEstwick,"pak  Ganjar Hebat selalu peduli pada rakyat, main-main pak ke Kalimantan Tengah hehehe  Kebijakan Presiden  Ganjar untuk kebai #GanjarHebat",Batununggal Bandung,"['pak', 'ganjar', 'hebat', 'selalu', 'peduli', 'rakyat', 'main', 'pak', 'kalimantan', 'tengah', 'hehehe', 'bijak', 'presiden', 'ganjar', 'kebai', 'ganjarhebat']"
343,2023-03-24 13:11:33+00:00,alexxdavi,luar biasa keberhasilan  Ganjar pulihkan ekonomi indonesia  kebijakan presiden berhasil melewati masa masa sulit indonesia  ht #GanjarHebat,Antapani Bandung,"['luar', 'biasa', 'hasil', 'ganjar', 'pulih', 'ekonomi', 'indonesia', 'bijak', 'presiden', 'hasil', 'lewat', 'masa', 'masa', 'sulit', 'indonesia', 'ht', 'ganjarhebat']"
344,2023-03-24 13:11:29+00:00,alhassen3211,"Sumatera Selatan mendukung Pak  Ganjar, karenanya Ekonomi Indonesia Tumbuh diatas 5 Persen  Presiden  Ganjar dikagumi masyarak #GanjarHebat",antapani Bandung,"['sumatera', 'selatan', 'dukung', 'pak', 'ganjar', 'karena', 'ekonomi', 'indonesia', 'tumbuh', 'atas', '5', 'persen', 'presiden', 'ganjar', 'kagum', 'masyarak', 'ganjarhebat']"
345,2023-03-24 12:41:03+00:00,ismet1980,Presiden  Ganjar mensejahterakan petani dan masyarakat kecil di Kalimantan Tengah  Presiden  Ganjar seorang pemimpin yang yang #GanjarHebat,Cikutra Bandung,"['presiden', 'ganjar', 'sejahtera', 'tani', 'masyarakat', 'kecil', 'kalimantan', 'tengah', 'presiden', 'ganjar', 'orang', 'pimpin', 'ganjarhebat']"
346,2023-03-24 12:41:00+00:00,ahmetxx69,"Kebijakan orang baik, akan menghasilkan hal yang baik pastinya  Dukung kebijakan pemerintah, untuk Indonesia Maju #Ganjar #GanjarPresidenku",batujajar bandung,"['bijak', 'orang', 'baik', 'hasil', 'baik', 'pasti', 'dukung', 'bijak', 'perintah', 'indonesia', 'maju', 'ganjar', 'ganjarpresidenku']"
347,2023-03-24 12:22:20+00:00,YAPSKH72,"Ganjar - Prabowo atau Prabowo - Ganjar

Manut kersane @PDI_Perjuangan","Sukoharjo, Indonesia","['ganjar', '-', 'prabowo', 'prabowo', '-', 'ganjar', 'manut', 'kersane', 'pdi', 'juang']"
348,2023-03-24 12:11:22+00:00,alhassen3211,Kinerja pak  Ganjar nyata dan berhasil membangun Indonesia  Masyarakat Sulawesi Selatan menyukai Presiden  Ganjar  https://twi #GanjarHebat,antapani Bandung,"['kerja', 'pak', 'ganjar', 'nyata', 'hasil', 'bangun', 'indonesia', 'masyarakat', 'sulawesi', 'selatan', 'suka', 'presiden', 'ganjar', 'https', 'twi', 'ganjarhebat']"
349,2023-03-24 11:41:15+00:00,alexxdavi,Komunitas Milenial Sulawesi Selatan menyukai kinerja  Ganjar   Ganjar Membangun Negeri dan disambut baik dengan warga Sulawesi #GanjarHebat,Antapani Bandung,"['komunitas', 'milenial', 'sulawesi', 'selatan', 'suka', 'kerja', 'ganjar', 'ganjar', 'bangun', 'negeri', 'sambut', 'baik', 'warga', 'sulawesi', 'ganjarhebat']"
350,2023-03-24 11:11:06+00:00,650Juarez1,luar biasa keberhasilan  Ganjar pulihkan ekonomi indonesia  kebijakan presiden berhasil melewati masa masa sulit indonesia  ht #GanjarHebat,Hegarmanah Bandung,"['luar', 'biasa', 'hasil', 'ganjar', 'pulih', 'ekonomi', 'indonesia', 'bijak', 'presiden', 'hasil', 'lewat', 'masa', 'masa', 'sulit', 'indonesia', 'ht', 'ganjarhebat']"
351,2023-03-24 10:41:03+00:00,ismet1980,"Selalu ramah Pak  Ganjar, dengan bersama  Ganjar kita pasti bisa bangkit  Pemerintah Pak  Ganjar terbaik dan terdepan  https:/ #GanjarHebat",Cikutra Bandung,"['selalu', 'ramah', 'pak', 'ganjar', 'sama', 'ganjar', 'bangkit', 'perintah', 'pak', 'ganjar', 'baik', 'depan', 'https', 'ganjarhebat']"
352,2023-03-24 10:41:00+00:00,AdrianEstwick,"Pemerintahan  Ganjar bagus sekali, terdepan dalam mensejahterakan masyarakat  Bangga dengan keberhasilan pemerintah  https://t #GanjarHebat",Batununggal Bandung,"['perintah', 'ganjar', 'bagus', 'sekali', 'depan', 'sejahtera', 'masyarakat', 'bangga', 'hasil', 'perintah', 'https', 't', 'ganjarhebat']"
